HB,Month,TotalPatientsWaiting,TotalPatientsWaitingQF,NumberOfPatientsWaiting0To18Weeks,NumberOfPatientsWaiting0To18WeeksQF,NumberOfPatientsWaiting19To35Weeks,NumberOfPatientsWaiting19To35WeeksQF,NumberOfPatientsWaiting36To52Weeks,NumberOfPatientsWaiting36To52WeeksQF,NumberOfPatientsWaitingOver52Weeks,NumberOfPatientsWaitingOver52WeeksQF
S08000015,201309,407,u,290,u,116,u,1,u,0,u
S08000016,201309,72,u,71,u,1,u,0,u,0,u
S08000017,201309,64,u,64,u,0,u,0,u,0,u
S08000018,201309,420,u,339,u,80,u,1,u,0,u
S08000019,201309,272,u,222,u,50,u,0,u,0,u
S08000020,201309,,:,,:,,:,,:,,:
S08000021,201309,967,u,967,u,0,u,0,u,0,u
S08000022,201309,190,u,183,u,7,u,0,u,0,u
S08000023,201309,430,u,409,u,21,u,0,u,0,u
S08000024,201309,1168,u,885,u,240,u,40,u,3,u
S08000025,201309,5,u,5,u,0,u,0,u,0,u
S08000026,201309,5,u,5,u,0,u,0,u,0,u
S08000027,201309,810,u,467,u,305,u,26,u,12,u
S08000028,201309,8,u,8,u,0,u,0,u,0,u
S92000003,201309,4818,d u,3915,d u,820,d u,68,d u,15,d u
S08000015,201308,349,u,269,u,78,u,2,u,0,u
S08000016,201308,61,u,60,u,1,u,0,u,0,u
S08000017,201308,59,u,59,u,0,u,0,u,0,u
S08000018,201308,346,u,298,u,47,u,1,u,0,u
S08000019,201308,265,u,234,u,31,u,0,u,0,u
S08000020,201308,,:,,:,,:,,:,,:
S08000021,201308,842,u,834,u,8,u,0,u,0,u
S08000022,201308,177,u,165,u,12,u,0,u,0,u
S08000023,201308,400,u,390,u,10,u,0,u,0,u
S08000024,201308,1095,u,853,u,207,u,32,u,3,u
S08000025,201308,2,u,2,u,0,u,0,u,0,u
S08000026,201308,4,u,3,u,1,u,0,u,0,u
S08000027,201308,783,u,505,u,252,u,17,u,9,u
S08000028,201308,8,u,8,u,0,u,0,u,0,u
S92000003,201308,4391,d u,3680,d u,647,d u,52,d u,12,d u
S08000015,201307,319,u,254,u,63,u,2,u,0,u
S08000016,201307,65,u,62,u,3,u,0,u,0,u
S08000017,201307,64,u,64,u,0,u,0,u,0,u
S08000018,201307,378,u,327,u,49,u,2,u,0,u
S08000019,201307,266,u,238,u,28,u,0,u,0,u
S08000020,201307,,:,,:,,:,,:,,:
S08000021,201307,931,u,911,u,20,u,0,u,0,u
S08000022,201307,175,u,159,u,16,u,0,u,0,u
S08000023,201307,394,u,387,u,7,u,0,u,0,u
S08000024,201307,1170,u,910,u,230,u,26,u,4,u
S08000025,201307,5,u,4,u,1,u,0,u,0,u
S08000026,201307,4,u,4,u,0,u,0,u,0,u
S08000027,201307,766,u,498,u,244,u,16,u,8,u
S08000028,201307,9,u,9,u,0,u,0,u,0,u
S92000003,201307,4546,d u,3827,d u,661,d u,46,d u,12,d u
S08000015,201306,477,u,398,u,79,u,0,u,0,u
S08000016,201306,70,u,66,u,4,u,0,u,0,u
S08000017,201306,72,u,72,u,0,u,0,u,0,u
S08000018,201306,400,u,353,u,46,u,1,u,0,u
S08000019,201306,258,u,252,u,6,u,0,u,0,u
S08000020,201306,,:,,:,,:,,:,,:
S08000021,201306,898,u,893,u,5,u,0,u,0,u
S08000022,201306,187,u,170,u,16,u,1,u,0,u
S08000023,201306,438,u,422,u,16,u,0,u,0,u
S08000024,201306,1194,u,992,u,182,u,17,u,3,u
S08000025,201306,11,u,11,u,0,u,0,u,0,u
S08000026,201306,6,u,5,u,1,u,0,u,0,u
S08000027,201306,755,u,525,u,212,u,10,u,8,u
S08000028,201306,4,u,4,u,0,u,0,u,0,u
S92000003,201306,4770,d u,4163,d u,567,d u,29,d u,11,d u
S08000015,201305,437,u,391,u,46,u,0,u,0,u
S08000016,201305,84,u,83,u,1,u,0,u,0,u
S08000017,201305,62,u,61,u,1,u,0,u,0,u
S08000018,201305,382,u,351,u,30,u,1,u,0,u
S08000019,201305,256,u,251,u,4,u,1,u,0,u
S08000020,201305,,:,,:,,:,,:,,:
S08000021,201305,887,u,887,u,0,u,0,u,0,u
S08000022,201305,200,u,165,u,35,u,0,u,0,u
S08000023,201305,409,u,405,u,4,u,0,u,0,u
S08000024,201305,1159,u,955,u,185,u,12,u,7,u
S08000025,201305,4,u,4,u,0,u,0,u,0,u
S08000026,201305,7,u,6,u,1,u,0,u,0,u
S08000027,201305,498,u,468,u,30,u,0,u,0,u
S08000028,201305,8,u,8,u,0,u,0,u,0,u
S92000003,201305,4393,d u,4035,d u,337,d u,14,d u,7,d u
S08000015,201304,407,u,370,u,37,u,0,u,0,u
S08000016,201304,92,u,87,u,5,u,0,u,0,u
S08000017,201304,69,u,69,u,0,u,0,u,0,u
S08000018,201304,363,u,303,u,58,u,2,u,0,u
S08000019,201304,250,u,238,u,12,u,0,u,0,u
S08000020,201304,,:,,:,,:,,:,,:
S08000021,201304,903,u,900,u,3,u,0,u,0,u
S08000022,201304,188,u,158,u,26,u,4,u,0,u
S08000023,201304,431,u,413,u,18,u,0,u,0,u
S08000024,201304,1136,u,908,u,203,u,22,u,3,u
S08000025,201304,7,u,7,u,0,u,0,u,0,u
S08000026,201304,6,u,4,u,2,u,0,u,0,u
S08000027,201304,473,u,424,u,49,u,0,u,0,u
S08000028,201304,7,u,7,u,0,u,0,u,0,u
S92000003,201304,4332,d u,3888,d u,413,d u,28,d u,3,d u
S08000015,201303,414,u,366,u,48,u,0,u,0,u
S08000016,201303,122,u,121,u,1,u,0,u,0,u
S08000017,201303,150,u,149,u,1,u,0,u,0,u
S08000018,201303,355,u,306,u,49,u,0,u,0,u
S08000019,201303,252,u,240,u,12,u,0,u,0,u
S08000020,201303,,:,,:,,:,,:,,:
S08000021,201303,898,u,880,u,18,u,0,u,0,u
S08000022,201303,210,u,181,u,23,u,3,u,3,u
S08000023,201303,473,u,450,u,23,u,0,u,0,u
S08000024,201303,1224,u,1064,u,141,u,19,u,0,u
S08000025,201303,10,u,10,u,0,u,0,u,0,u
S08000026,201303,8,u,7,u,1,u,0,u,0,u
S08000027,201303,461,u,440,u,21,u,0,u,0,u
S08000028,201303,7,u,7,u,0,u,0,u,0,u
S92000003,201303,4584,d u,4221,d u,338,d u,22,d u,3,d u
S08000015,201302,401,u,341,u,56,u,4,u,0,u
S08000016,201302,103,u,103,u,0,u,0,u,0,u
S08000017,201302,126,u,123,u,2,u,1,u,0,u
S08000018,201302,343,u,300,u,38,u,5,u,0,u
S08000019,201302,189,u,182,u,7,u,0,u,0,u
S08000020,201302,,:,,:,,:,,:,,:
S08000021,201302,826,u,823,u,3,u,0,u,0,u
S08000022,201302,228,u,178,u,37,u,7,u,6,u
S08000023,201302,436,u,431,u,5,u,0,u,0,u
S08000024,201302,1118,u,970,u,126,u,22,u,0,u
S08000025,201302,10,u,9,u,1,u,0,u,0,u
S08000026,201302,6,u,6,u,0,u,0,u,0,u
S08000027,201302,388,u,381,u,7,u,0,u,0,u
S08000028,201302,7,u,7,u,0,u,0,u,0,u
S92000003,201302,4181,d u,3854,d u,282,d u,39,d u,6,d u
S08000015,201301,396,u,342,u,51,u,3,u,0,u
S08000016,201301,99,u,99,u,0,u,0,u,0,u
S08000017,201301,76,u,76,u,0,u,0,u,0,u
S08000018,201301,375,u,318,u,48,u,9,u,0,u
S08000019,201301,235,u,215,u,20,u,0,u,0,u
S08000020,201301,,:,,:,,:,,:,,:
S08000021,201301,875,u,860,u,15,u,0,u,0,u
S08000022,201301,207,u,181,u,23,u,1,u,2,u
S08000023,201301,390,u,381,u,9,u,0,u,0,u
S08000024,201301,989,u,857,u,106,u,26,u,0,u
S08000025,201301,10,u,10,u,0,u,0,u,0,u
S08000026,201301,7,u,7,u,0,u,0,u,0,u
S08000027,201301,385,u,341,u,44,u,0,u,0,u
S08000028,201301,11,u,11,u,0,u,0,u,0,u
S92000003,201301,4055,d u,3698,d u,316,d u,39,d u,2,d u
S08000015,201212,360,u,294,u,66,u,0,u,0,u
S08000016,201212,71,u,71,u,0,u,0,u,0,u
S08000017,201212,74,u,73,u,1,u,0,u,0,u
S08000018,201212,397,u,336,u,59,u,2,u,0,u
S08000019,201212,213,u,199,u,13,u,1,u,0,u
S08000020,201212,,:,,:,,:,,:,,:
S08000021,201212,948,u,893,u,54,u,1,u,0,u
S08000022,201212,229,u,201,u,24,u,3,u,1,u
S08000023,201212,402,u,400,u,2,u,0,u,0,u
S08000024,201212,990,u,784,u,164,u,38,u,4,u
S08000025,201212,5,u,5,u,0,u,0,u,0,u
S08000026,201212,10,u,10,u,0,u,0,u,0,u
S08000027,201212,434,u,383,u,51,u,0,u,0,u
S08000028,201212,14,u,14,u,0,u,0,u,0,u
S92000003,201212,4147,d u,3663,d u,434,d u,45,d u,5,d u
S08000015,201211,313,u,261,u,48,u,4,u,0,u
S08000016,201211,80,u,79,u,1,u,0,u,0,u
S08000017,201211,73,u,73,u,0,u,0,u,0,u
S08000018,201211,385,u,330,u,53,u,2,u,0,u
S08000019,201211,223,u,210,u,13,u,0,u,0,u
S08000020,201211,,:,,:,,:,,:,,:
S08000021,201211,955,u,868,u,81,u,6,u,0,u
S08000022,201211,212,u,174,u,27,u,11,u,0,u
S08000023,201211,346,u,332,u,14,u,0,u,0,u
S08000024,201211,967,u,728,u,198,u,36,u,5,u
S08000025,201211,1,u,1,u,0,u,0,u,0,u
S08000026,201211,8,u,8,u,0,u,0,u,0,u
S08000027,201211,390,u,337,u,53,u,0,u,0,u
S08000028,201211,13,u,13,u,0,u,0,u,0,u
S92000003,201211,3966,d u,3414,d u,488,d u,59,d u,5,d u
S08000015,201210,286,u,228,u,58,u,0,u,0,u
S08000016,201210,70,u,70,u,0,u,0,u,0,u
S08000017,201210,65,u,65,u,0,u,0,u,0,u
S08000018,201210,375,u,316,u,55,u,2,u,2,u
S08000019,201210,189,u,182,u,7,u,0,u,0,u
S08000020,201210,,:,,:,,:,,:,,:
S08000021,201210,959,u,836,u,108,u,15,u,0,u
S08000022,201210,212,u,150,u,49,u,12,u,1,u
S08000023,201210,357,u,315,u,42,u,0,u,0,u
S08000024,201210,941,u,667,u,238,u,36,u,0,u
S08000025,201210,3,u,3,u,0,u,0,u,0,u
S08000026,201210,7,u,7,u,0,u,0,u,0,u
S08000027,201210,348,u,284,u,64,u,0,u,0,u
S08000028,201210,8,u,6,u,2,u,0,u,0,u
S92000003,201210,3820,d u,3129,d u,623,d u,65,d u,3,d u
S08000015,201209,284,u,210,u,62,u,10,u,2,u
S08000016,201209,53,u,53,u,0,u,0,u,0,u
S08000017,201209,71,u,70,u,1,u,0,u,0,u
S08000018,201209,383,u,300,u,78,u,2,u,3,u
S08000019,201209,153,u,144,u,9,u,0,u,0,u
S08000020,201209,,:,,:,,:,,:,,:
S08000021,201209,949,u,818,u,110,u,21,u,0,u
S08000022,201209,260,u,172,u,76,u,9,u,3,u
S08000023,201209,339,u,298,u,41,u,0,u,0,u
S08000024,201209,517,u,486,u,30,u,1,u,0,u
S08000025,201209,,:,,:,,:,,:,,:
S08000026,201209,7,u,7,u,0,u,0,u,0,u
S08000027,201209,342,u,302,u,39,u,1,u,0,u
S08000028,201209,11,u,10,u,1,u,0,u,0,u
S92000003,201209,3369,d u,2870,d u,447,d u,44,d u,8,d u
S08000015,201208,278,u,213,u,51,u,13,u,1,u
S08000016,201208,55,u,55,u,0,u,0,u,0,u
S08000017,201208,65,u,65,u,0,u,0,u,0,u
S08000018,201208,333,u,265,u,58,u,6,u,4,u
S08000019,201208,147,u,141,u,6,u,0,u,0,u
S08000020,201208,,:,,:,,:,,:,,:
S08000021,201208,895,u,721,u,149,u,25,u,0,u
S08000022,201208,268,u,174,u,87,u,4,u,3,u
S08000023,201208,302,u,263,u,37,u,2,u,0,u
S08000024,201208,518,u,489,u,28,u,1,u,0,u
S08000025,201208,,:,,:,,:,,:,,:
S08000026,201208,4,u,4,u,0,u,0,u,0,u
S08000027,201208,317,u,287,u,29,u,1,u,0,u
S08000028,201208,14,u,14,u,0,u,0,u,0,u
S92000003,201208,3196,d u,2691,d u,445,d u,52,d u,8,d u
S08000015,201207,259,u,178,u,70,u,10,u,1,u
S08000016,201207,51,u,51,u,0,u,0,u,0,u
S08000017,201207,81,u,81,u,0,u,0,u,0,u
S08000018,201207,357,u,283,u,64,u,7,u,3,u
S08000019,201207,176,u,166,u,10,u,0,u,0,u
S08000020,201207,,:,,:,,:,,:,,:
S08000021,201207,949,u,747,u,176,u,26,u,0,u
S08000022,201207,248,u,153,u,79,u,13,u,3,u
S08000023,201207,347,u,302,u,42,u,3,u,0,u
S08000024,201207,888,u,668,u,215,u,5,u,0,u
S08000025,201207,,:,,:,,:,,:,,:
S08000026,201207,3,u,3,u,0,u,0,u,0,u
S08000027,201207,269,u,255,u,13,u,1,u,0,u
S08000028,201207,10,u,9,u,1,u,0,u,0,u
S92000003,201207,3638,d u,2896,d u,670,d u,65,d u,7,d u
